Hinglish,English
mere bachche mere baare mein har samay hansate rahate hain,My kids laugh at me all the time about it
main jo padh raha hoon usase unhonne phrojan brodave sho banaaya. yah aapake bachchon ko lene ke lie bahut achchha hoga!,From what I'm reading they created a Frozen Broadway show. That would be great to take your kids to!
namaste kya aap vahaan hain?,"Hello, are you there?"
haan,yes
kya yah vahee vyakti hai jo baat kar raha hai?,is this the same person ive been talking to?
kya aap abhee bhee aasapaas hain?,Are you still around?
abhee bhee yahaan haan,yep still here
kya aapako naya dastaavez mila hai,did you get the new document
mujhe yah dekhane ke lie utsuk hona chaahie ki kya hetee ek aur jame hue ke saath baahar aate hain,I would be curious to see if htey come out with another frozen
aamataur par seekval niraashaajanak ho sakate hain lekin yah enimeted philmon ke maamale mein nahin lagata hai.,usually sequels can be disappointing but that doesn't seem to be the case with animated movies. 
"mujhe lagata hai ki yah vaastav mein saphal ho sakata hai, khaasakar jab se pahalee baar baahar aane se samay mein ek achchha brek aaya hai","I think it could be really successful, especially as there has been a good break in time since the first one came out"
yah dilachasp hai ki dijnee saundary aur jaanavar jaise kaaryon ke itihaas mein jodane mein saksham tha,It is interesting that Disney was able to add onto the history of works such as Beauty and the beast
Hi!,hi!
Hi,hi
kya tumhe movie The Blindside dekhi hai?,Have you seen the Movie The Blindside?
No maine nahi dekhi,No I have not
kya wo acchi hai?,Is it good ?
Wo bahut acchi hai. mujhe wo bahut pasand aayi,It is very good. I liked it a lot!
Cool.,Cool. 
Movie ka genre kya hai?,What is the genre of the movie?
Movie ka Genre Biographical Sports Drama hai.,The Genre is a Biographical Sports Drama. 
Kya tum unme ho?,Are you into those?
nahi,nopes.
not really,not really
Kya tum janna chahte ho ye kis baare me hai,Do you want to know what it is about?
but agar actor acche hai aur movie reviews acche hai to main interested ho sakta hu,but if the actors are good and the movie reviews are good then I might be interested
sure,sure
"Blind Side is 2009 ki American Biographical sports drama film hai jise John Lee Hancock ne write aur direct kiya hai joki Michael Lewis ki Book The Blind Side: Evolution of a Game pe based hai. Story me Micheal Oher ek offensive lineman hai jo NFL me Baltimore Raven se draft ho jata hai. Film me Oher ki gareeb upbringing aur uske Wingate Christian School k saal, uska Sean aur Leigh Anne Tuohy se adoption se college football me sabse coveted prospect ki journey aur phir finally Raven ki first round pick banna hai. Usme Quinton Aaron as Big Mike,Sandra Bullock as Leigh Anne Tuohy, Tim Mcgraw as Sean Tuhoy hai.","The Blind Side is a 2009 American biographical sports drama film written and directed by John Lee Hancock, based on the Book The Blind Side: Evolution of a Game by Michael Lewis. The storyline features Michael Oher, an offensive lineman who was drafted by the Baltimore Ravens of the NFL. The film follows Oher from his impoverished upbringing, through his years at Wingate Christian School, his adoption by Sean and Leigh Anne Tuohy, to his position as one of the most highly coveted prospects in college football, then finally becoming first-round pick of the Ravens. It stars Quinton Aaron as Big Mike, Sandra Bullock as Leigh Anne Tuohy, Tim Mcgraw as Sean Tuhoy."
interesting sound karta hai,that sounds interesting
kya movie ki happy ending hai?,does the movie have a happy ending?
"Movie ko moderately positive review mile the, critics ne Sandra Bullock ki performance praise ki thi. Rotten Tomatoes pe usne 69% aur average 6.1/10 score kiya","The film received moderately positive reviews, with critics praising Sandra Bullock's performance. It scored 69% and average; 6.1/10 on Rotten tomatoes"
"Haan, uski bahut happy ending hai","Yes, it has a very happy ending."
awesome,awesome
fir main shayad isey dekhunga,then i might watch it
kya jab ye release huyi tab tumne dekhi?,did you see it when it was released?
SOunds good. Mujhe lagta hai tum isey kafi enjoy karoge. Main janta hun maine kiya. Mujhe Sandra Bullock ki movies achi lagti hain.,Sounds good. I think you would enjoy it very much. I know I did. I really like Sandra Bullock Movies
Maine tab dekhi thi jab ye release huyi thi,I did see it when it was released.
"Han, mujhe Miss Congeniality mein uski acting achi lagi thi","Yeah, I loved her acting in Miss Congeniality"
"Han, wo meri favorites mein se ek hai. Uski bohat sari older ones bhi.","Yes, one of my favorites. A lot of her older ones as well."
Kya is movie ke bare mein tumhare aur questions hain?,Do you have any other questions about the Movie
?,?
Movie kitni long hain?,How long is the movie?
"ye pretty long tha, may be 2 hour se adhik","It was pretty long, maybe a little over 2 hours."
"wow, ye to long movie he","wow, thats a long movie"
ye un movies me se he jo app over and over watch karene ke bawajood bhi na tired ho.,It's one of those movies that you can rewatch over and over and not get tired of it.
"everytime, esa feel hota he ki first time dekh rahe he.","It feels like Watching it for the first time, every time. "
"oh, to tumne ise more than once dekhi he?",oh so you have seen it more than once?
"are yes, YE HI KOI FEW TIMES","Oh yes, a few times. "
hello,Hello
"Hello, how are you?",Hello. How are you?
I'm good. kya tumne movie enjoy ki?,I'm good. Did you enjoy the movie?
"Yes, mujhe musicals pasand hai, aur tumhe?","Yes, I love musicals, and you? "
"mujhe lagta unhe tolerate kiya ja sakta hai, but ye wali bahut achchi thi","I think they are tolerable, but this one was pretty good."
mujhe pasand aaya ki ye LA me located hai aur bahut relatable hai.,I like that it was located in LA and made it pretty relatable.
kya app L.A. me rahte ho?,Do you live in L.A.?
Vegas,Vegas
Ye to cool hai. Mai south mai hu.,Oh very cool. I'm in the South
kya aap Gosling's ke fan ho?,Are you a Gosling's fan?
Emma Stone ke fan?,Emma Stone fan?
mujhe wo dono hi pasand hai. aapka favorite kaun hai?,I really like them both. Which is your favorite?
"dono achche actores hai, Gosling jyada attractive. HA!","Both are good actors, Goslings more attractive. HA!"
aap kya sochte ho film ke success aur satisfaction ke perspective par?,What did you think of the film’s perspective on success and satisfaction? 
mai is conversation ke beech me kahi kho gaya tha. Since 5 minute ho chuke hai tumhara last response mile hue. mai ye discussion abandon karung.,"I think I lost you somewhere in the conversation. Since it has been 5 minutes without a response from you, I am going to abandon the discussion. "
tumhara day great ho,Have a great day
conversation ke liye thanks,Thanks for the conversation
?,?
?,?
?,?
?,?
?,?
?,?
"hello, namaste",hello
"hi, namaste",hi
"Mainne yah movie kabhee nahin dekhee hai, lekin lagata hai ki kuchh achchhee actresses hain","I've never seen this movie, but looks to have some good actresses"
"Mainne dekha hai. yah bahut achchha tha, aur haan actresses bahut achchhee theen. Main believe nahin kar sakata ki rotten tomatoes ne ise itana kam score diya","I have seen it. It was very good, and yes the actresses were great. I can't believe rotten tomatoes gave it such a low score"
yah kaaphee low hai,that is quite low
"mujhe dark fantasy flicks accha lagta hai, isalie main isako enjoy kar paaoongan.","I enjoy dark fantasy flicks, so I may enjoy this one"
Disney classic disney movies  par apanee live action movies ke saath achchha kar raha hai. Aur haan mujhe vishvaas hai ki agar aapako dark fantasy pasand hai to aap ise pasand karenge. yah  purushaarth par ek naya prabhaav deta hai.,Disney has been doing well with their live action movies on classic disney movies. And yes i do believe you'll like it if you like dark fantasy. It gives a new take on maleficent. 
isake alaava visuals amazing thain,Plus the visuals were amazing
mainne suna hai ki visuals  great tha,I heard the visuals were great
"Disney really mein jaanata hai ki kuchh great visuals ko kaise banaana hai, yah sure baat hai.",Disney really knows how to create some great visuals that's for sure lol
Robert stomberg ne kaafi aacha kaam kiya,Robert Stromberg has done some good work
"Ohh haan, chand, jangal. Mujhe yaad hai","Oh yeah, the Moors, that forest.  I remember that"
Mai usse nahi janta. Usne aur kaunse movie kari hai,I'm not quite familiar with him. What other movies has he done?
Production ne avatar me kyaa design kiya,he did the production design on Avatar
Aur alice in wonderland,and alice in wonderland
King henry bole jo bhi maleficent ko marega vo agla raja banega aur uske beti se shadi karega,King Henry says whoever kills Maleficent will be named his successor and marry his daughter.  
Mujhe bhi vo movies pasand hai,o I love those movies as well
Stefans ke dhoks ke baad Moors ek dark kingdom me tabdeel ho gaya,The Moors got turned into a dark kingdom after Stefans betrayal.
Kaise ho,hello?
Ji,Ji
Hi,Hi
Hello,Hello
To hum kis movie ke baare mein baat kar rahe hain?,So what movie are talking about ?
The Wolf of Wall Street,The Wolf of Wall Street
Oh maine is movie ke bare mein kafi suna hai,"Oh, I have heard a lot about that movie"
Maine actually kabhi ye movie nahi dekhi to jo maine padha hai mujhe wahi pata hai.  Personally ye aisi movie nahi lagti jo mujhe chi lage. Ye boring lagti hai aur isey C Cinema Score mila to shayad ye mere opinion ko support karta hai.,I have never actually seen this movie so what I am reading is all I know about it. Personally it does not seem like a movie I would like. It seems boring and it was given a Cinema Score of C so that might support my opinion.
Oh okay. lead actors kon hain?,Oh okay. Who are the lead actors ?
"ye to kehti hai ki iska genre ""black comedy"" hai. Kya tumhe pata hai kyunki mujhe nahi pata, mujhe lag raha hai ye as in mood and attitude ""dar"" comedy hai na ki racial.","It says the genre is a ""black comedy"". Do you know what that is because I do not. I'm thinking it is a ""dark"" comedy as in mood and attitude and not racial."
"lead actors Leonardo DiCaprio, Jonah Hill, Margot Robbie, Kyle Chandler, and Rob Reiner hain. Mujhe nahi pata Kyle Chandler kon hain.","The lead actors are Leonardo DiCaprio, Jonah Hill, Margot Robbie, Kyle Chandler, and Rob Reiner. I do not know who Kyle Chandler is."
ye bade naam hain,There are big names
I see ki ye tre story pe based hai,I see it was based on a true story.
Leonardo iske liye Oscar nominate hua,Leonardo was nominated for Oscar for this.
AAP KAHAAN HAIN?,Where are you located ?
"OH VAH EK ACHCHHE ABHINETA HAIN, SHAAYAD ISAKE HAKADAAR HAIN.","Oh he is a good actor, probably deserved it."
MAIN MAIREELAIND MEIN STHIT HOON. MAINNE SOCHA THA KI HAM VYAKTIGAT JAANAKAAREE DENE KE LIE NAHIN HAIN.,I'm located in Maryland. I thought we aren't suppose to give personal information.
VULPH OPH VOL SADAK AMERIKA MEIN BAHUT PRASIDDH HAI.,Wolf of Wall street is pretty famous in the US.
"YAH SIRPH MUJHE THODA VICHITR LAGA KI KOEE US PHILM KO NAHIN JAANATA HAI, ISALIE MAINNE POOCHHA.","It just seemed a little bizarre to me that someone didn't know that movie,so I asked."
HAAN. MAINNE ISAKE BAARE MEIN SUNA HAI LEKIN ISE KABHEE NAHIN DEKHA. MUJHE EKSHAN PHILMEN PASAND HAIN.,Yes. I've heard of it but never seen it. I like action movies.
"THEEK HAI. MAIN ISE DEKHANE KEE KOSHISH KARANE KEE SALAAH DETA HOON, YAH EK BEHATAREEN PHILM HAI.","Okay. I recommend trying to watch it, it's a great movie."
"MUJHE LAGATA HAI KI MERE PATI AUR BETEE NE ISE KHAREEDA HAI, MUJHE NAHIN. PHIR SE, MUJHE EKSHAN PHILMEN PASAND HAIN LEKIN MERE PATI KO GAINGASTAR AUR KOMEDEE DEKHANA BAHUT PASAND HAI. VAH HAMESHA MUJHE CHIDHAATE HAIN KI MAIN KEVAL ABHINETAON KE LIE EKSHAN PHILMEN DEKHANA CHAAHATA HOON.","I think my husband and daughter have watched it buy not me. Again, I like action movies but my husband loves watching gangster and comedies. He always teases me that I only want to watch action movies for the actors."
"HAAHA, KYA VAH SAHEE HAI?]","Haha, is he right ?]"
"MUJHE KARANA PAD SAKATA HAI. MAIN EK PUSTAK VYAKTI SE ADHIK HOON, KYONKI YAH MUKHY CHARITR DVAARA LIKHEE GAEE PUSTAK PAR AADHAARIT HAI ISALIE MAIN PUSTAK KO PADHANE KE LIE ADHIK UPAYUKT HOGA.",I might have to. I am more of a book person so since it's based on a book written by the main character I would be more apt to read the book.
"ha, kabhi vo sahi hoti hai ki mai kyo avtion moive dekhta hu","Yeah, sometimes he is right that is why I watch the action movies lol."
yah mmoive book me based hai,The movie is based on a book.
"ish moive ki summary depressing hai,moive ka character imandar nahi malum parta aur vah arrest ho jata hai,muje lagta hai vah apni life se seek leta haijab vah book liogta hai",The summary of the movie seems kind of depressing. The main character doesn't seem honest and he gets arrested. I'm guessing he overall learned his lesson since he wrote a book about his life story.
"muje yah accha nahi laga,jab kisi me bahut kuch kare ki abuility par lalach ke chhaker me vah bhrast ho jata aur apni life barbad kar leta haiha moive kafi entertaining",It actually sounds sad to me. Someone that has the potential to make alot of money at work and ends up getting greedy and corrupt and ruins their life.
"ha moive kafi entertaining  hai.sayad summary emo ne likhi hai,puri moive majedar hai last ke das min ke siva","Yeah, the movie is pretty entertaining. The summary might have been written by an emo. Lol. The entire movie is fun, other than the last 10 mins or so."
"kulmilakar ant acha tha,uske pas parivar aur sabkuch tha",Overall he ended up fine. Has a family and everything
kuch samay ke liye vah t.v par guest tha,He is on TV sometimes as a guest 
"oh yah thik tha,vah teen saal ke liye jail gaya vah jayada time nahi hota achyar use sach me dukh hua apni jingi ka ya keval paise barbad hone ka",Oh well that's good. I see he went to jail for 3 years. That's not too long. I wonder if he truly regrets ruining his life or just regrets losing all the money.
usne ashan aur quick paisa kamaya jabki usne stock market ko luta,"He made that money quick and easy, while cheating the stock market."
"vah yek intelligent vaykti tha,bari sarm hai ki sara talent barbad ho gaya","He must be a really intelligent person, what a shame to waste all that talent."
3 saal se kuch nahi,3 years was nothing.
"haan, 3 saal tho short hein","Yeah, 3 years is short."
"well, voh ab bhi millionaire  hein","Well, he still is a millionaire."
"are wow, muje is bare mein kuch nahi patha. except us 22$ million ka swiss account.. tho aise hi voh millionaire huve?",Oh wow. That I didn't know and it doesn't say. Except it says he hid $22 million in a Swiss account. Is that how he's still a millionaire?
"agar voh previously saare money lost kiya tha lekin voh movie ko ache tarah deal kiya, book ko bhi,, aur kahi millions tho apne speaking fees se banaya","Even if he lost all the money he made previously, his movie deal, book deal and speaking fees has made him millions"
"aapko patha hein, agar usse new family hota tho uska 2nd wife jo naomi tho jarur divorce karthi",Do you know if he has a new family because it says his 2nd wife Naomi wanted a divorce and full custody of their children.
"muje itna detail nahi patha, mein unka daughter aur unka talk dekha hein, thoda happy nazar aa rahe the","I don't know much in detail but ,I watched him talk about his daughter once and he seemed pretty happy about where he is now."
voh kahathe hei ki yahi unka life ka mistakes hein,He does say that he has made mistakes in his life.
"acha sahi, muje is tarah ka movies jaise real life stories dekhna pasand hein",Oh well that's good. I do like movies (and books) based on real life stories.
"mein bhi try karunga, acha hein","Try watching it , its a good one."
ham baate karme mei achche lag rahe the,Looks like we did good on the chat
mera khayal hai mere pass hai. yadi usne mera attention 30 min ke liye le liya to mei dhekhunga. khabhi kabhi mei movei dekhane se pahale Wikipedia mei dekhata hui,I think I might have to. If it keeps my attention through the first 30 minutes I'll keep watching it. Sometimes I cheat and wikipedia movies to see what they are about before watching them.
"haa, mere khayalhai ki ye bahut achi baate hai","yes, I think this is a good chat."
chalo isko lapet lete hai,Let's wrap it up
thik hai,Ok. 
aap ka din aaramdayak ho,Have a great rest of your day
bye.,Bye.
thank you tum ko bhi. bye,"Thank you, you too. Bye"
Namaste! aap ko superhero movies aaccha lagega kya?,Hello! Do you like superhero movies?
ha. batman start huwa! mene socha hi ki ee batman film tho great hi. aap dekha hi kya?,yes. batman begins! I think this a great batman film. have you seen it?
ha. mere pas hi. Christian Bale tho mera favorite Batman hi abhi tak.,"Yes, I have. Christian Bale is my favorite Batman so far."
"aap movies ka ratings dekega kya , dekhne ke pehle ?",Do you usually check the ratings of movies before you see them?
"mene dekungi. lekin rating se kuch farak nahi padega , jho mene dekungi ya nahi.",I usually do. but the rating dose not determine whether i will watch the movie or not
"ee film tho bahut great bada actors tha, ee tho dusara reason hi mere kho aacha laga aur mene dekungi bina actors keliye.","The film has several great big name actors, which is another reason I like this one and would watch it based on the actors alone"
"ha, bahut sara great actors hi Batman Begins me. mene like karungi Liam Neeson tho bi, vo tho eek villain be hi.","I agree, there are quite a few great actors in Batman Begins. I like Liam Neeson too, even though he is one of the villains."
"utna potential hi actors me dekhke big screen mere kho bahut interest aaya tha. milke dono super heros aur villans bhi hi. isko aacha rating help karega , mene time waste mat karungi dusara awful movie dekhke.","seeing the potential for great actors together on a big screen defiantly gets my interest. along with super heros and villans.  a good 
rating does help me feel like I will not waste my time watching something awful"
lekin same time me mene nahi deter karungi ee film se if mene just genre dekhke.,but the same time will not deter me from a film If i am just into the genre
Main personally acchi ratings prefer karta hun .Even agar kisi movie mein kayi acche actors hain lekin agar uski rating kharab hai to main usko usually theaters mein nahi dekhta.,"I personally prefer good ratings. Even if a movie has many good actors, if it's rated poorly, I usually won't watch it in theaters."
Waise mein sure nahi hun ki mein Metacritic  ke 70/100 score se agree karunga.,"I'm not sure if I agree with the Metacritic Score of 70/100, though."
Rotten Tomatoes pe 84%  zyada accurate lagta hai.,The 84% on Rotten Tomatoes seems more accurate.
Generally mere paas enough patience hota hai to wait for a film to be released on DVD/Video agar mujhe rating pasand nahi aati.,I will generally have enough patience to wait for a film to be released on DVD/Video if the rating turn me off.
Movie ke bat scene ke baare mein kya khyal hai ?,What did you think of the bat scene in the movie?
"Main sochta hun ki ye scene shows the story of this film well, kaafi socha samjha hai.","I felt that scene shows the story of this film well, and is thought out."
Waise I wonder ki bats ke liye dry well se behtar koi place ho sakti thi kya,"I wonder if there was a better place for the bats besides a dry well, though."
batman as a child accha step tha by the filmmaker ye dikhane ke liye ki uski life kaise start hui,"batman as a child was good step by the filmm
aker to show how his life started out"
Because movie ka naam Batman Begins hai so I agree ki Bruce ki shuruaati life dikhana appropriate hai.,"Because this movie is called Batman Begins, I agree that it was appropriate to show Bruce's beginnings."
"Mere khyal se ye ironic hi hai ki mugger's name is Joe Chill , lekin wo chill nahi hai if he murders people.","I think it's ironic that the mugger's name is Joe Chill, but he isn't
 chill if he murders people."
"unlikely haan, mujhe lagta hai wo batman kaise bana k ek mysterious beginning dikhana chahte the, but phir bhi thodi mystery chhodna chahte the ke use bats ka phobia kaise hota hai.","unlikely yes, I think they were going for a mysterious beginning to show how batman came to be.  but still want to leave some mystery as he still develops a phobia to 
 the bats"
"bahut ironic, mr chill to ek bone chilling murdered hai","very ironic. mr chill is more of a bone 
chilling murderer. "
"Uska bhi murder hojata hai, to kam se kam wo jo deserve karta hai use mil jata hai","He is also murdered too, so at least he gets what he deserves."
Jo uske liye hona tha usko mil jata hai. But brucse uska murder nahi karta to main sochta hu wo uski badla leni ki chahat rah jaati hai.,"he got whats coming to him. but 
bruce dosent get to murder him so i think that leaves him wanting revenge "
"Mujhe lagta hai iss ye establish hone me help hoti hai k Bruce kabhi kisi ka directly murder nahi karte. Even jab wo league of Shadows ko jala deta hai, Ra's al Ghul ko directly nahi maarta hai.","I think it helps to establish that Bruce will not directly murder anyone. Even when he burns down the League of Shadows, he doesn't directly kill Ra's al Ghul."
Injustice kabhi bhi murder ka reason nahi hona chaiye,"Injustice should be not be used as a reason to murder, in any case."
Mujhe lagta hai ke wo lucky tha k league of shadows ka part ban gaya aur apne bats k dar ko hata diya.,"I feel hes lucky become part of the league of shadows, and to purge his fear of bats. this key part I think is pretty lucky break for him. as he is doing jail time in a foreign country."
Ye kaafi strange hai k uski family butler afford kar sakti hai but wo jail chor karne k liye jata hai,It is strange that his family could afford a butler but he goes to prison for stealing...
Mujhe Gary Oldman as Gordon accha laga. Wo ek good cop accha play karta hai,I really like Gary Oldman as Gordon. He plays a good cop really well.
Tum Scarecrow wale scenes k baare me kya sochte ho?,What did you think of the Scarecrow scenes?
"scarecrow kafi scary character tha, water supply ko poison karne ki try kar raha tha",The scarecrow was particularly scary character. trying to poison the water supply
"aur batman fear-inducing drugs se poisoned tha, mujhe laga uska sab over hai","and batman was poisoned with the fear-inducing drugs, I thought it was over for him."
"haan, puri movie mein kafi points par aisa laga ki kafi character ke liye it was over","It appeared to be over for many characters in this movie at different points, yeah."
main bhi surprised tha jab asli Ra's al Ghul ne khud ko dikhaya.  League of Shadows asaani se nahi marta,"I was surprised when the real Ra's al Ghul showed himself, too. The League of Shadows doesn't die easily."
lagta hai past experience survive karne ke baad usme otherworldy power they,He seems to have otherworldy power after surviving his past experiences
He,hey
Mene is Dunkirk ko dekha he,I have seen this Dunkirk
Christopher Nolan is tarah ke movies ke liye acche director he,Christopher Nolan is a good director for these types of movies.
Wo awesome tha aur ha Nolan best he,It was awesome and yes Nolan is best
Do hajar satrah film war k upar he,2017 film based on war
"Mene abhi movie dekhi nahi he,par suna he action scenes are quite realistic","I haven't seen the movie yet, but hear the action scenes are quite realistic."
"Must see,me sujav deta hu","must see, I suggest"
Critics harbar kyu criticizing karte he,"why there are critics always criticizing
 "
Muje lagta he wo kuch awards jitenge,I think it will win some awards.
"Te hoi sake che, google pe check karna hoga","It might have, have to check google"
Uske rating eight point six he jo awesome he,its rating is 8.6 which is awesome
Ninty four ek accha score hai metacritic movie pe really hard hai,A 94 is a really good score considering metacritic is really hard on movies.
Ha,yup
Muje pata nahi tha wo IMAX film me shoot kiya tha,I didn't know that it was shot on IMAX film.
Wo kya tha,what's that
IMAX screens speciality theaters me badi hai. Teen sories tall jesi,IMAX screens are large screens in specialty theaters. They're like 3 stories tall.
IMAX sixty five mm,IMAX 65 mm
Are,oh...
"Isko bad me dekhenge, uske bare me bad me read karenge","will look after while, will read about it"
Harry Styles kaise the? kya aapane use dekha tha jab aapane use dekha tha?,How was Harry Styles? Did you recognize him when you saw it?
"nahin, mujhe jyaada yaad nahin hai","no, I don't remember much"
mujhe pasand hai ki ve phir se is tarah yuddh chitr bana rahe hain,I like that they're making war pictures like this again.
haan main bhee,"yes, I too"
kya aapako lagata hai ki philm itihaas ke lie sateek thee?,Did you think the movie was accurate to the history?
"ho sakata hai, lekin poore aatmavishvaas ke saath nahin kah sakate kyonki pahale itihaas dekhana padata hai","May be, but can't say with full confidence as have to look for history first"
ya padhana hoga ki nolan ne is philm ko banaane ke baare mein kya socha tha,or have to read what Nolan thought making this movie
"jis tarah se mainne ise skool mein seekha, angrejon ne yuddh ko vaheen kho diya, agar unhen dunakirk mein mita diya gaya hota.","The way I learned it in school, the British could have lost the war right there if they had been wiped out at Dunkirk."
oh,"oh, "
bhaagyashaalee,lucky one
cast me tumhara favourite actor kaun tha.,Who was your favorite actor from the cast?
Wo jo train me last scene me aata hai,The one who was shown in the train in the last scene.
Wo dar rahe the ke unhe appreciate nahi karege but logo ka reaction opposite tha,they were fearing they might not be appreciated but opposite was peoples reaction
Stream karke dekhna worth hai kya?,Is it worth watching on streaming?
Tumhe acchi print me wo dekhna chaiye,You should must watch in some good print.
Tumhe bahut pasand aayegi,U will love it 
"Since tum UK history se familiar ho, tumhe sabse jyada pasand aayegi","since you are more familiar with UK history, you will like it the most"
But tumhare genre k taste pe bhi depend karta hu,but depends on your taste of genre
Kya usme German Submarines bhi thi? Mujhe U-Boat action kaafi pasand hai,Was there German submarines in it too? I love some U-Boat action as well.
"Nahi, but air combat start se end tak dikhaye hai.","No, but air combat is shown from start to end"
clue milne se jyada accha hai dekhlo,better watch than get the clue. lol
Filming may 2016 me start hui aur sept me end hogayi. Wow,filming began in May 2016 and ended in sept. WOW!!!
Aisi movie me probably bahut green screen aur special effects hote honge,There's probably a lot of green screen and special effects that goes into a movie like this.
haan,yes
conversation khatam karte hai,lets finish conversation
Main ye option dekh sakta hu,I can see this option now
happy chatting,happy chatting
"Ok, tumse baat karke accha laga hai","OK, nice talking to you."
HELLO,Hello
HI,"
iHi"
ye bahut interesting film hai,This is an interesting movie
ye bahut unusual film hai,"it is, it's a very unusual movie"
"haa,kya tumko pasand hai?","Yes, did you like it?"
jab se human creature ke pyar mei the.,since the human fell in love with a creature
haa mei kiya,I did
mene shoch ki  ye film bahut  different hogi jitani movie meme dekhi hai,I though it was very different than most movies I watch
tum kesa feel kar rahe ho?,how did you feel?
"mei uske sath pyar mei nahi hu,ye mere taste se alag hai","I wasn't in love with it, a little weird for my taste"
par ye bahut anag hai i appreciated it,But I appreciated how unique it was
"kya mei,mei ne acting bahut achchi lagi","so did I, and the acting was done very well"
Guillerma del toro ke pass active imagination hai.,Guilllermo del Toro certainly has an active imagination
"Haa, actor bahut achcha hai","Yes, the actors were very good"
Usko sign language mei communicate karte dekh bahut interesting laga,it was interesting seeing them communicate in sign language
"Haa, meine bhi kiya hai","Yes, I did as well"
Reviews ke bare mei tum kya sochte hao?,what did you think about the reviews?
Mei reviews nahi read karta hui,I didn't really read the reviews
But sabhi ne isko highly recommending kiya hai,But everyone I know that saw it was highly recommending it
Mujhe generally wo movie pasand hai jo mere friends mei popular hi,I generally like to see movies that are so popular among my friends
Reviews read karke mujhe movie ke bare mei or realize hota hai,"it was, and reading the reviews made me realize more about the movie"
Haa mujhe check karna padega,Hmm I'll have to check them out
"tho aapka khayal kya hein, kaise voh usse jinda rakha hoga?",what did you think about how she keep him alive?
"muje lagtha hein ki, is story line mein kahi complexity hein,, aur theme tho kuch missed hein",I did seem like there was a lot of complexity to the story line and theme that I may have missed
bathtub mein?,In the bathtub?
"kitna sweet hein yar, voh usse ache se caring karti",I thought it was sweet that she was caring for him
"haan, muje bhi kuch aise hi laga","yes, I thought so also"
"however, romantic scenes tho dhoda odd hi hoti muje",however the romantic scenes were definitely a bit odd to me
car ke liye tho bahut bura huva,Very sad about the car though...
mein is movie ko normally nahi dekhti,it wasn't like a movie I normally watch
"haan, thoda strange hein","Yes, it was a little strange at times"
ending ke baare mein aapka khayal,what did you think about the ending?
"mein tho maantha hoon ki yen ache movie hein dekhne ko, aur new aur original bhi hei","But, I agree that it is nice to see a movie that is new and original"
"muje ending pasand hein, muje tho us last few scene ko thoda gruesome laga","I liked the ending, although I though the last few scene were a bit gruesome
."
mein maantha hoon,I agree
yeh kuch happy ending ke tarah hi hey,it was kind of a happy ending though
mein yeh appreciate kartha hoon,which I appreciated
I wonder Rotten Tomatoes score aur Metacritic score me Wonder Woman k liye itna gap kyu hai,I wonder why there is a gap in the Rotton Tomatoes score and the Metacritic score for Wonder Woman
"hello! ye kaafi strange hai, maybe unki different audience hai, kya tumne originally ise war movie type se dekha? I guess personally main war movies aur super hero movies ko seperate karta hu.","hello! that is very strange, maybe they have different audiences, did you originally see this as a war movie? I guess i personally separate war movies from super hero movies"
"main bhi wahi karta hu. Main dono ko alag genre maanta hu , bhale hi Wonder Woman World War 1 k duaran set thi.","I do that too, I think of them both as different genres, even though Wonder Woman was set during World War 1."
"Haan, main unhen ek saath samoohabaddh karate hue dekh sakata tha, main aamataur par unhen alag karata hoon, main actors ka aanand leta hoon haalaanki, gal gadot aur chris pine mahaan hain, aapako unakee pasand ke baare mein kaisa laga?","Yeah I could see them grouping it together, I just usually separate them, I enjoy the actors though, Gal Gadot and Chris Pine are great, how did you feel about their choices?"
"Mujhe laga ki kaasting bahut achchhee thee, haalaanki yah pahalee baar tha jab mainne gal gadot ke baare mein suna.","I thought the casting was great, even though this was the first time I ever heard of Gal Gadot."
"Haalaanki main hairaan tha ki yah ek dc movie haaha ko dekhate hue sirtiks ke saath bahut achchhee tarah se praapt hua tha, aamataur par marvel jagah chalaata hai","I was shocked though it was so well received with cirtics considering its a DC film haha, usually Marvel runs the place"
Main sahamat hoon. mujhe lagata hai ki isaka ek kaaran yah tha ki ise achchhee tarah se praapt kiya gaya tha kyonki wonder woman badhate sangharsh mein yogadaan dene ke bajaay yuddh ko samaapt karane kee koshish kar rahee thee.,"I agree. I think one of the reasons it was well received was because Wonder Woman was trying to end the war, instead of contributing to a growing conflict."
"Haan, bahut see marvel movies sirph ek sangharsh karane ke lie hotee hain aur phir ek maujooda band hone ke bajaay isake saath jaatee hain. mainne haalaanki isaka aanand liya, haalaanki yah raay mein antar dilachasp hai, mujhe nahin pata ki kya main ek doosare ko dekhoonga","yeah, a lot of the marvel movies tend to just make up a conflict and then go with it instead of going off an existing one. I enjoyed it though, It is interesting the difference in opinions though, I don't know if I would see a second one "
"mujhe lagata hai ki agar patty jenkins ek seekval ka nirdeshan karatee hai, to yah pahale vaale kee tarah achchha hoga iss movie ke saath unhonne bahut achchha kaam kiya.","I think if Patty Jenkins directs a sequel, it would be as good as the first one. She did a great job with this movie."
