,premise,hypothesis,labels,translated_premise,translated_hypothesis
1730,"SHAHID : Bhai , Law assistant ki opening mili hai . Maqbool Menon ke saath . ## ARIF : Good . ## SHAHID : Job chodna padega . ## ARIF : Journalist wali ? Kaise chalega ? ## SHAHID : Main bhi yahi soch raha tha . Shahid looks down as he walks . Arif who is curious for his reaction keeps looking as they walk but Shahid avoids to look up . ## ARIF : Kuuch milega ? ## SHAHID : Haan , Bhai . Arif asks how much without saying . ## SHAHID : 2 hazaar . ## SHAHID : Kaise karenge ? ## ARIF : Tension mat lo . Hai ek idea . ## SHAHID : Ok ## ARIF : Ab ghar jaa .. Shahid starts walking as Arif stands there . ## ARIF : Zyaada der ruke mat rahna yahaan Shahid looks back and makes an eye contact . ## SHAHID : Dekh lena , 2 saal mein log mujhe jaanenge , bhai . ## ",ARIF ko Law assistant ki opening mili hai,contradictory,"शाहिद: ​​भाई, कानून सहायक की ओपनिंग मिली है। मकबूल मेनन के साथ। ## आरिफ : अच्छा। ## शाहिद : जॉब छोड़ना पड़ेगा। ## एआरआईएफ : पत्रकार वाली? कैसे चलेगा? ## शाहिद : मैं भी यही सोच रहा था। चलते-चलते शाहिद नीचे देखता है। आरिफ जो अपनी प्रतिक्रिया के लिए उत्सुक है, चलते-चलते देखता रहता है लेकिन शाहिद ऊपर देखने से बचते हैं। ## आरिफ : कुछ मिलेगा ? ## शाहिद : हां, भाई। आरिफ बिना कहे कितना पूछता है। ## शाहिद : 2 हजार। ## शाहिद : कैसे करेंगे? ## एआरआईएफ : टेंशन मैट लो। हाई एक विचार। ## शाहिद : ठीक है ## आरिफ : अब घर जा.. आरिफ के खड़े होते ही शाहिद चलना शुरू कर देता है। ## एआरआईएफ : ज्यादा देर रुके मत रहना यहां शाहिद पीछे मुड़कर देखता है और नजरें मिलाता है। ## शाहिद: ​​देख लेना, 2 साल में लोग मुझे जानेंगे, भाई। ##",एआरआईएफ को लॉ असिस्टेंट की ओपनिंग मिली है
1731,"SAXENA : Jeeta reh ... ## WAR : Dr . Saxena . Professor , Punjab University ... ## SHAHID : Hunh ... ## WAR : Yeh mujhe , Srinagar mein garib bachchon ke liye civil services ki institute kholne mein madad karenge .. ## SHAHID : Civil services kyun ? ## WAR : To change the system , you have to be a part of it . ## SHAHID : Paise ?... ## WAR : Abbu ne thik thak choda hai . ## SHAHID : Sorry , ## WAR : Main bhi . Wajah bhi main hi tha . ## ",SAXENA is professor in Punjab University,entailment,"सक्सेना : जीता रह... ## युद्ध : डॉ. सक्सेना। प्रोफेसर, पंजाब विश्वविद्यालय ... ## शाहिद: ​​हुं ... ## युद्ध: ये मुझे, श्रीनगर में गरीब बच्चन के लिए सिविल सेवा की संस्थान खोलने में मदद करेंगे .. ## शाहिद: ​​सिविल सेवा क्यों? ## युद्ध: सिस्टम को बदलने के लिए, आपको इसका हिस्सा बनना होगा। ## शाहिद : पैसे ? ... ## युद्ध : अब्बू ने ठीक था छोटा है । ## शाहिद: ​​क्षमा करें, ## युद्ध: मैं भी। वजह भी मैं ही था। ##",सक्सेना पंजाब यूनिवर्सिटी में प्रोफेसर हैं
1732,GENERAL RAZA : Khurram Mirza tumhari security mein tha ... Tum is baat ko lightly mat do ... Americans ne jo Osama ke saath kiya uske baad kisi ke bhi ambitions ... ## GOLDMAN : Utni mehnat ka unko koi shauq nahi hai aur Khuraam kyon maara gaya aap jaantey hain ... Yeh business uske bahut din ka shuroo kiya hua aur cut oopar bhi ja raha ... ## GENERAL RAZA : Tum itni zid kyon kar rahey ho is baar ... ## GOLDMAN : of his shirt and runs a hand over his surgical wounds) By paas do hain ... Beta ek hi hai ! ## ,Khurram Mirza GENERAL RAZA ki security mein tha,contradictory,जनरल रज़ा: खुर्रम मिर्ज़ा तुम्हारी सुरक्षा में था ... तुम इस बात को हल्के से मत दो ... अमेरिकियों ने जो ओसामा के साथ किया उसके बाद किसी के भी महत्वाकांक्षाएं ... ## गोल्डमैन: उतनी मेहंदी का उनको कोई शौक नहीं है और खुराम क्यों मारा गया आप जांते हैं ... ये बिजनेस उसके बहुत दिन का शुरू किया हुआ और कट ऊपर भी जा रहा ... ## जनरल रजा : तुम इतनी जिद क्यों कर रहे हैं बार ... ## गोल्डमैन : अपनी कमीज़ से और अपने सर्जिकल घावों पर हाथ चलाता है) पास दो हैं ... बेटा एक ही है! ##,खुर्रम मिर्जा जनरल रज़ा की सुरक्षा में था
1733,ASHOK : Pandit ji ka ladka saala ek number ka phattu hai- bakk dia .. ## SHAMMI : Rita ? ## ASHOK : Kothri mein bandh karke rakha hai- jaise raat ko bhaag jaayegi kahin- ## SHAMMI : Yeh saale Baooa ko toh aisa thokunga na mai .. ## ASHOK : Arre kya toh taayi chillayi hai- aur kya papa ne dhamkaya aaj .. Aapko hona chahiye tha na .. ## SHAMMI : Mai hota toh kya teer maar leta ? Mai toh pahle hi fail item hoon .. ## ,ASHOK fail item hai,contradictory,अशोक : पंडित जी का लड़का साला एक नंबर का फटू है बक्क दिया .. ## शम्मी : रीता ? ## अशोक: कोथरी में बंद करके रखा है- जैसे रात को भाग जाएगी कहीं- ## शम्मी: ये साले बाओ को तो ऐसा ठोकुंगा न मैं .. .. आपको होना चाहिए था ना .. ## शम्मी: मैं होता तो क्या तीर मार लेता? मैं तो पहले ही फेल आइटम हूं.. ##,अशोक फेल आइटम है
1734,RAGHAVAN : kabhi kabhi mujhe lagta hai tujhe bahut khatarnaak death wish hai .. ## SIMMY : ho sakta hai death wish na ho ke .. gusse mein main tujhe maarna chahti hun .. ## RAGHAVAN : tu itni sexy kyon hai .. ## SIMMY : Kyonki tu itna chutiya hai .. He slaps her .. ## SIMMY : Gaadi thok doongi behanchod .. tera hath sambhaal ke rakh Raghavan takes a phone call . ## RAGHAVAN : Hello .. umm .. ## ,SIMMY takes a call,contradictory,राघवन: कभी मुझे लगता है तुझे बहुत खतरनाक मौत की कामना है.. ## सिम्मी: हो सकता है मौत काश ना हो के.. गुसे में मैं तुझे मरना चाहता हूं.. ## राघवन सेक्सी है.. # सिम्मी: क्यों तू इतना चुटिया है.. उसने थप्पड़ मारा.. ## राघवन : नमस्कार.. उम्म.. ##,सिम्मी एक कॉल लेती है
1735,"RAJIV : Sir .. Kamre mein khoon phaila hua hai .. gadda , chaadar poore khoon mein bheege hue hain . ## DHANIRAM : Main to yahaan Sameer Vihar mein hoon Sir .. SP saab duty laga ke gaye hain .. Ji .. ## DHANIRAM : Nahin Sir .. Kya baat kar rahe hain Sir .. Main kisi aur ko yahan pe bitha ke aata hoon sir .. Jee sir .. Jai hind .. ## DHANIRAM : Sample le liye hain humne .. ## PRAMOD NATHANI : To chhat pe daal dein ? ## DHANIRAM : Tumhara kambal , tumhari chaddar .. Chhat pe daalo ki sandook mein dalo . Main kya bataaoon .. ## ",RAJIV Sameer Vihar mein hai,contradictory,"राजीव : सर.. कामरे में खून भरा हुआ है.. गद्दा, चादर गरीब खून में भीगे हुए हैं. ## धनिराम : मैं तो यहां समीर विहार में हूं सर.. एसपी साहब ड्यूटी लगा के गए हैं.. आता हूं सर .. जी सर .. जय हिंद .. ## धनिराम: नमूना ले लिए हैं हम .. ## प्रमोद नथानी: तो छट पे दाल दें? ## धनिराम: तुम्हारा कंबल, तुम्हारी चादर .. छट पे डालों की संदूक में डालो। मैं क्या बताऊं .. ##",राजीव समीर विहार में है
1736,SANDHYA : Sambhalke ! ## PREM : Koi baat nahin . Iska stand thoda kharab hai . ## SANDHYA : Thoda ? ## PREM : Haan . ## PREM : Bajao ghanti . ## PREM : Bas tere ko hee raas naa aaya apna sasural !. ## ,SANDHYA ko apna sasuraal pasand aaya,contradictory,संध्या : संभलके ! ## प्रेम : कोई बात नहीं। इस्का स्टैंड थोड़ा खराब है। ## संध्या : थोडा ? ## प्रेम : हां। ## प्रेम : बजाओ घंटा। ## प्रेम : बस तेरे को ही रास ना आया अपना ससुराल!. ##,संध्या को अपना ससुराल पसंद आया:
1737,"VIKRAM : Saare bamb barood mere parivar walon ke thaile mein dhoondoge Madan Singhji ? ## MADAN SINGH : Oho ! Pehchana hi nahi . Lamba ho gaya bada . ## VIKRAM : Aaj iss taraf ko ? ## MADAN SINGH : Iss gate waale ne chutti le li , mujhe bole aa jao . Neelu ne bhi marketing karni thi . ## VIKRAM : Bitiya aayi hai ? ## MADAN SINGH : Phone se chain k a h a n i n k i genrason ko . Pura din tain-tain tun-tun lagi rehti hai ! ## VIKRAM : B a d i hogayi kitti ! First year mein hai , second ? ## ",MADAN SINGH poora din phone pe lagi rehti hai,contradictory,"विक्रम : सारे बम बारूद मेरे परिवार वालों के थे में ढूंढूंगा मदन सिंहजी ? ## मदन सिंह : ओहो ! पहचान ही नहीं। लंबा हो गया बड़ा। ## विक्रम : आज इस तारफ को ? ## मदन सिंह : इस गेट वाले ने चुटकी ले ली, मुझे बोले आ जाओ। नीलू ने भी मार्केटिंग करनी थी। ## विक्रम : बिटिया आई है ? ## मदन सिंह : फोन से चेन के ए एच ए एन आई एन के आई जेनरेशन को। पुरा दिन तन-तें तून लगी रहती है! ## विक्रम : ब अ द मैं होगी किट्टी ! प्रथम वर्ष में है, द्वितीय ? ##",मदन सिंह पूरा दिन फोन पर लगी रहती है
1738,"ISHAAN : Yahan ? Yahaan kholenge sports ki dukaan ? Is tabele mein ? ## OMI : Chii Govi !! Abhi itni baans aa rahi hai to baad mein kya hoga !! ## HASSAN : Aapna budget mein yehi site available hai govi bhai . Thoda jeb kholo , budget badhao ..first class cheez dikhata hun . ## HASSAN : Maalik dekhne ke kya paise padh et hain .. Baad mein nakki kar lean . ## ",site se badboo aa rahi hai,entailment,"ईशान : याहान ? यहां खोलेंगे स्पोर्ट्स की दुकान? तबले में है? ## ओएमआई : ची गोवी !! अभी इतनी बांस आ रही है तो बाद में क्या होगा !! ## हसन : अपना बजट में यही साइट उपलब्ध है गोवी भाई। थोड़ा जेब खोलो, बजट बढ़ाओ..प्रथम श्रेणी चीज दिखला हूं। ## हसन: मालिक देखने के क्या पैसे पढ़ और हैं.. बाद में नक्की कर दुबला। ##",साइट से बद्बू आ रही है
1739,OMAR : Wait ... Why am I running ... Do I even beli ... (Bullet passes his head) Fuckin hell ... Another bullet brushes his shoulder ... ## OMAR : Think . ## OMAR : I am one of the hostages . I am from England ... My name is Rajeev Verma . ## COP : Arrey yeh kidnapper na hai ... ## COP : Phir bhaga kyon bahanchod ... ## COP : Abey maar mat ... goli lag rakhi hai isse ... mar maraa gaya toh ... ## COP : Jeep mein daal ... Agar dogla hua .. ## ,OMAR is one of the hostages. ,entailment,उमर : रुको ... मैं क्यों दौड़ रहा हूं ... क्या मैं भी बेली ... (बुलेट उसके सिर से गुजरती है) साला ... एक और गोली उसके कंधे को छूती है ... ## उमर : सोचो। ## उमर : मैं बंधकों में से एक हूं। मैं इंग्लैंड से हूँ ... मेरा नाम राजीव वर्मा है। ## पुलिस वाले : अरे ये अपहरणकर्ता ना है ... ## पुलिस वाले : फिर भागा क्यों बहनछोड़ ... ## पुलिस वाले : अबे मार मत... गोली लग राखी है इसे ... मर मारा गया तो ... ## सिपाही : जीप में दाल... आगर दोगला हुआ.. ##,OMAR बंधकों में से एक है।
1740,"SHAHID : Yaar ek zaroorat hai ... ## AFTAB : Bata ... ## SHAHID : Yaar , U . A . E External affairs ministry se letter fax karwana hai Indian Ministry mein ... ## AFTAB : Ye legal kaam kaayko dete ho humein ... chalo koshish karte hain ki ho jaaye bhai ... aur kuch ? koi pareshaani ? kisiko set karna hai toh bolo ... Shahid is silent for a moment . ## SHAHID : Nahi bhai ... Kuch bhi karlo , bas karlo ... Koi zindagi bhar dua dega .. Main fax karta hoon details ... ## AFTAB : Dekhta hu kya kar sakte hai idhar ... ## SHAHID : Allah Hafiz . ## ",Koi zindagi bhar SHAHID ko duaa dega,contradictory,"शाहिद : यार एक जरूरी है... ## आफताब : बता... ## शाहिद : यार, उ. ए । ई विदेश मंत्रालय से पत्र फैक्स करना है भारतीय मंत्रालय में ... ## आफताब: ये कानूनी काम कायको देते हो हमें ... चलो कोशिश करते हैं की हो जाए भाई ... और कुछ ? कोई परशानी ? किसको सेट करना है तो बोलो ... शाहिद एक पल के लिए चुप है। ## शाहिद: ​​नहीं भाई ... कुछ भी करलो, बस करलो ... कोई जिंदगी भर दुआ दूंगा .. मैं फैक्स करता हूं विवरण ... ## आफताब: देखता हूं क्या कर सकता है इधर ... ## शाहिद : अल्लाह हाफिज । ##",कोई जिंदगी भर शाहिद को दुआ दूंगा
1741,BABBAN : Ho gaya intezam ? ## JAAN MOHAMMAD : Haan .. Kahan lana hai paisa ? ## BABBAN : Railway station platform number ek ki book stall pe aa ja .. 12 baje . ## JAAN MOHAMMAD : Theek hai . ## BABBAN : Aur sun . Abhi main Laal pull ke paas se bol riya hoon . Logon ko bhej ke time barbaad na kariyo apna . Aur time se pahunchiyo .. ## ,BABBAN JAAN MOHAMMAD ko Bus station pe bula raha hai,contradictory,बब्बन : हो गया इंतजारम ? ## जान मोहम्मद : हां.. कहां लाना है पैसा? ## बब्बन : रेलवे स्टेशन का प्लेटफार्म नंबर एक की किताब के स्टॉल पे आ जा..12 बजे. ## जान मोहम्मद : ठीक है। ## बब्बन : और सूरज। अभी मैं लाल पुल के पास से बोल रिया हूं। लोगो को भज के टाइम बरबाद ना करियो अपना। और समय से पहुँचियो .. ##,बब्बन जान मोहम्मद को बस स्टेशन पे बुला रहा है
1742,SUNITA NATHANI : Shruti ki death se qareeb ek hafta pehle .. Maine Ramesh ko kabhi itne gusse mein nahi dekha . That was strange .. Bahaut hi chhoti si baat thi .. ## RAMESH : Kanhaiya .. Yeh kya hai ? ## RAMESH : Itne saal mein kya seekha hai tune ..? Ek cast theek tareh se nahi bana sakta .. Dhang se kaam nahi karna hai toh naukri chhod de .. ## RAMESH : Dekh kya raha hai .. saaf kar sab .. Bastard .. ## ,SUNITA NATHANI ne kaha ki RAMESH ka gusse mein hona chhoti si baat thi. ,contradictory,सुनीता नथानी : श्रुति की मौत से करीब एक हफ्ते पहले.. मैंने रमेश को कभी इतने जाने में नहीं देखा। वो अजीब था.. बहुत ही छोटी सी बात थी.. ## रमेश: कन्हैया .. ये क्या है? ## रमेश : इतने साल में क्या पढ़ा है..? एक कास्ट एक तारे से नहीं बना सकता .. धंग से काम नहीं करना है तो नौकरी छोड़ दे .. ## रमेश: देख क्या रहा है .. साफ कर सब .. कमीना .. ##,सुनीता नथानी ने कहा की रमेश का गुसे में होना छोटी सी बात थी।
1743,GOVIND : Seedi thi peeche kahin .. maine dekhi thi . ## ISHAAN : Seedi se wo jaaye jiske goton me dum na ho ? Kya tumhare goton mein dum hai Omi ? Batao soldier . ## OMI : Bataoon mein tujhe ? Upar tak race lagata hai ? ## GOVIND : Sambhal ke .. Maroge saalon . ## ,ISHAAN seedhi se jaana chahta hai,contradictory,गोविंद : सीधी थी पीछे कहीं.. मैंने देखी थी. ## ईशान : सीदी से वो जाए जिसके गोटन में दम ना हो? क्या तुम्हारे गोतों में दम है ओमी? बटाओ सिपाही। ## ओएमआई : बताऊं में तुझे? ऊपर तक दौड़ लगता है? ## गोविंद : संभल के.. मरोगे सैलून। ##,ईशान सीधी से जाना चाहता है
1744,MISRA : Good afternoon ... Vicky Thakur murder mein mere paas ek ajeeb tip aayi ... ## MISRA : Vicky ka killer kisi official vehicle mein bhaaga tha ... Aajkal Pakisatn mein hai ... Kahin aapke dream project ka hissa toh nahi hai ? ## ASHWINI : Kaunsa dream project ... Jo tumney bandh karva diya ... ## MISRA : Aapne bandh kahan kiya hoga ... Thoda toh main bhi jaanta hoon aapko ... ## ASHWINI : Thoda jaantey ho ... Poora nahi ... ## ," ASHWINI ne kaha ki tum mujhe Thoda jaantey ho, Main tumhe Poora jaanta hoon. ",contradictory,मिश्रा: शुभ दोपहर ... विक्की ठाकुर मर्डर में मेरे पास एक अजीब टिप आई ... ## मिश्रा: विक्की का किलर किसी आधिकारिक वाहन में भाग था ... आजकल पाकिस्तान में है ... कहीं आपके ड्रीम प्रोजेक्ट का हिसा तोह नहीं है? ## अश्विनी: कौनसा ड्रीम प्रोजेक्ट ... जो तुमने बंद करवा दिया ... ## मिश्रा: आपने बंद कहां किया होगा ... थोड़ा तो मैं भी जनता हूं आपको ... पूरा नहीं ... ##,"अश्विनी ने कहा की तुम मुझे थोड़ा जाने दो, मैं तुम्हें पूरा जनता हूं।"
1745,"RAMA : Hello ? ## HARISH : Main bol raha hoon . ## RAMA : Acha hua aap ka phone aa gaya , ajeeb si ghabrahat si ho rahi thi ## HARISH : Rama woh ... Neerja ka plane Karachi ruka tha na .. wahaan .. plane hijack ho gaya hain . ## RAMA : Kya ho gaya hain ? ## HARISH : Hijack , kuch terrorists ne plane kabze mein kiya hua hain ## ",RAMA ko ghabrahat si ho rahi thi,entailment,"रमा : हेलो ? ## हरीश : मैं बोल रहा हूं. ## रमा : अच्छा हुआ आप का फोन आ गया, अजीब सी घबड़ाहट सी हो रही थी ## रमा : क्या हो गया है ? ## हरीश : हाईजैक, कुछ टेररिस्ट ने प्लेन कब्ज़ में किया है ##",रमा को घबड़ाहट सी हो रही थी
1746,WOMAN : 50 euros ## RANI : What ? ## WOMAN : 50 euro for half an hour ## RANI : No .. Noo .. Vijaylaxmi ! ## WOMAN : Vijaylaxmi ?... Ohh Vijaylaxmi ! ## WOMAN : Come in come in ... Vijaylaxmi is my best friend ... sit sit .. you are ... queen ? ## RANI : Rani ## WOMAN : India ? ## WOMAN : Salaam aleikum ... hum rukhsaar ... yahan roxette ## WOMAN : From sharjah ... aap kya nosh farmaana pasand kareingi ... tea ? Coffee ? ## RANI : Nahin nahin ... aapkey liye ... yeh packet ## RUKHSAAR : Humari ammi ne bheja ... khajoor ... vijaylakshmi ka address hai unki paas ... yahan ka nahin de saktey ... unhey zara sa bhi ilm hua ke hum yahan hain .. To allah ko pyari ho jayeingi ## RUKHSAAR : Yeh to lena padhega ... khajoor nahin ammi ka paigaam-e-mohabbat hai ... bismillah karo ## ,WOMAN RANI ko chai/ coffee offer kar rahi hai,entailment,महिला : 50 यूरो ## रानी : क्या ? ## महिला : आधे घंटे के लिए 50 यूरो ## रानी : नहीं .. नू .. विजयलक्ष्मी ! ## महिला : विजयलक्ष्मी... ओह विजयलक्ष्मी ! ## महिला : अंदर आओ ... विजयलक्ष्मी मेरी सबसे अच्छी दोस्त है ... बैठो बैठो .. तुम हो ... रानी? ## रानी : रानी ## महिला : भारत ? ## महिला: सलाम अलेकुम ... हम रुखसार ... यहां रोक्सेट ## महिला: शारजाह से ... आप क्या नोश फरमाना पसंद करती हैं ... चाय? कॉफ़ी ? ## रानी : नहीं नहीं ... आपके लिए ... ये पैकेट ## रुखसार : हमारी अम्मी ने भेजा ... खजूर ... विजयलक्ष्मी का पता है उनकी पास ... यहां का नहीं दे सके ... सा भी इल्म हुआ के हम यहां हैं .. तो अल्लाह को प्यारी हो जाएगी ## रुखसार: ये तो लेना पढेगा ... खजूर नहीं अम्मी का पैगाम-ए-मोहब्बत है ... बिस्मिल्लाह करो ##,वुमन रानी को चाय/कॉफी ऑफर कर रही है
1747,RIANA : Life itni complicated kyoun hai mum ? ## RIANA : --I can't believe aapko uski feelings ke baare mein mujh se zyaada pata tha . ## NICOLE : It's going to be okay . ## PHIL : Open the door . Main jaanta hun tum andar kya kar rahe ho ## ,RIANA does not believe his mum. ,contradictory,रियाना : जीवन इतनी जटिल क्यों है मां? ## रियाना: -- मुझे आपको उसकी भावनाओं पर विश्वास नहीं हो रहा है कि मेरे लिए मुझसे ज्यादा पता था। ## निकोल : सब ठीक हो जाएगा। ## फिल: दरवाज़ा खोलो। मैं जनता हूं तुम और क्या कर रहे हो ##,रियाना को अपनी मां पर विश्वास नहीं है।
1748,WOMAN : 50 euros ## RANI : What ? ## WOMAN : 50 euro for half an hour ## RANI : No .. Noo .. Vijaylaxmi ! ## WOMAN : Vijaylaxmi ?... Ohh Vijaylaxmi ! ## WOMAN : Come in come in ... Vijaylaxmi is my best friend ... sit sit .. you are ... queen ? ## RANI : Rani ## WOMAN : India ? ## WOMAN : Salaam aleikum ... hum rukhsaar ... yahan roxette ## WOMAN : From sharjah ... aap kya nosh farmaana pasand kareingi ... tea ? Coffee ? ## RANI : Nahin nahin ... aapkey liye ... yeh packet ## RUKHSAAR : Humari ammi ne bheja ... khajoor ... vijaylakshmi ka address hai unki paas ... yahan ka nahin de saktey ... unhey zara sa bhi ilm hua ke hum yahan hain .. To allah ko pyari ho jayeingi ## RUKHSAAR : Yeh to lena padhega ... khajoor nahin ammi ka paigaam-e-mohabbat hai ... bismillah karo ## ,RANI ki mummy ne khajoor bheje hain,contradictory,महिला : 50 यूरो ## रानी : क्या ? ## महिला : आधे घंटे के लिए 50 यूरो ## रानी : नहीं .. नू .. विजयलक्ष्मी ! ## महिला : विजयलक्ष्मी... ओह विजयलक्ष्मी ! ## महिला : अंदर आओ ... विजयलक्ष्मी मेरी सबसे अच्छी दोस्त है ... बैठो बैठो .. तुम हो ... रानी? ## रानी : रानी ## महिला : भारत ? ## महिला: सलाम अलेकुम ... हम रुखसार ... यहां रोक्सेट ## महिला: शारजाह से ... आप क्या नोश फरमाना पसंद करती हैं ... चाय? कॉफ़ी ? ## रानी : नहीं नहीं ... आपके लिए ... ये पैकेट ## रुखसार : हमारी अम्मी ने भेजा ... खजूर ... विजयलक्ष्मी का पता है उनकी पास ... यहां का नहीं दे सके ... सा भी इल्म हुआ के हम यहां हैं .. तो अल्लाह को प्यारी हो जाएगी ## रुखसार: ये तो लेना पढेगा ... खजूर नहीं अम्मी का पैगाम-ए-मोहब्बत है ... बिस्मिल्लाह करो ##,रानी की मम्मी ने खजूर भेजे हैं
1749,"SHAHID : Kab se ? ## SHAHID : Just ek problem . Har char mein ek cancer se tapakta hai . Tum 3 mein ho , tumko kuchch nahin hoga . Ho sakta hai , kyon nahin ? 75% chance . Distinction hai ! ## KHALID : Ek minute , bhai . ## SHAHID : Dost ? Khalid shakes his head and walks towards his friend as Shahid looks on amusedly . ## ",SHAHID shakes his head,contradictory,"शाहिद : कब से ? ## शाहिद : बस एक समस्या। हर चार में एक कैंसर से तपता है। तुम 3 में हो, तुमको कुछ नहीं होगा। हो सकता है, क्यों नहीं? 75% मौका। भेद है! ## खालिद: एक मिनट, भाई। ## शाहिद : दोस्त ? खालिद अपना सिर हिलाता है और अपने दोस्त की ओर चलता है क्योंकि शाहिद मस्ती से देखता है। ##",शाहिद ने सिर हिलाया
1750,JAAN MOHAMMAD : Ek lafz aur toh tera bheja baahar . ## ITALVI : Accha ? Nikaal .. Himmat hai to nikal Italvi ka bheja baahar ! ## ITALVI : Maar ! ## JAAN MOHAMMAD : Dekh be Italvi . Aakhiri baar keh raha hoon .. ## ITALVI : Naqli Nawab saala .. ## ,JAAN MOHAMMAD is ITALVI's brother in law. ,contradictory,जान मोहम्मद : एक लफ्ज और तो तेरा भेजा बहार। ## इटाल्वी : अच्छा ? निकला .. हिम्मत है तो निकल इटालवी का भेजा बहार ! ## इटाल्वी : मार ! ## जान मोहम्मद : देख हो इटालवी। आखिरी बार कह रहा हूं.. ## इटाल्वी : नक़ली नवाब साला .. ##,जान मोहम्मद इटालवी के साले हैं।
1751,SONAL : Lo bhai le aayi main tera passport aur ticket ## SONAL : Tujhsey zyada to main excited hoon ... ke finally tera vrat to tootega ... ## RANI : Chup kar paagal mummy sunn legi ## SONAL : Truousseau wala suitcase hai ? ## RANI : Nahin voh to voh pada ... yeh honeymoon wala ## RANI : Hai na achhey suit ? ## SONAL : kya fayda ## RANI : Kyun ? ## SONAL : Peheney ka chance kahan dega voh ## RANI : Chhee ## SONAL : Lingaree li ? ## RANI : Haan lovable ki satin wali ## SONAL : Aur negligee ? ## RANI : Matlab ? ## SONAL : Main janti thi ... main cheez to tu le ke nahin ja rahi ... ## RANI : Hawwww ## SONAL : Hai na ## ,SONAL is mad. ,contradictory,सोनलः लो भाई ले आई मैं तेरा पासपोर्ट और टिकट है? ## रानी : नहीं वो तो वो पड़ा ... ये हनीमून वाला ## रानी : है ना अच्छे सूट ? ## सोनल : क्या फ़ायदा ## रानी : क्यूं ? ## सोनल: पहनने का मौका कहां देगा वो ## रानी: छे ## सोनल: लिंगरी ली? ## रानी : हां प्यारी की साटन वाली ## सोनल : और लापरवाही ? ## रानी : मतलाब ? ## सोनल : मैं जनता थी ... मैं चीज तो तू ले के नहीं जा रही ... ## रानी : हवा ## सोनल : है ना ##,सोनल पागल है।
1752,"INZAMAM: : Pan Am ek french crew ko tayyar kar rahaa hain ## SAFIRINI: : Kitni der mein ? ## INZAMAM: : Bas kuch hi der , tab take passengers mein se kam se kam aurtien aur bache toh chhod do . ## SAFIRINI: : Tum waqt batao . Pilots jaldi aaye toh hum tumhari baat par amal karne ki sochenge ## INZAMAM: : Mai poori koshish kar rahaa hoon , airport bandh hai issiliye unhe aane mein thoda waqt lag sakta hain ## SAFIRINI: : Waqt nahi hain Inzemam . angrezi samajhne waali crew bhej jaldi . ## INZAMAM: : Tum aurtein aur bache bhejoge ? ## SAFIRINI: : Sochenge . ## ",SAFIRINI Hindi samajhne wali crew maang raha hai,contradictory,"इंजमाम: : पान एम एक फ्रेंच क्रू को तय्यर कर रहा है ## सफिरिनी: : कितनी डर में? ## इंजमाम: बस कुछ ही डर, टैब टेक पैसेंजर्स में से कम से कम औरतें और बच्चे तो छोड दो। ## SAFIRINI: : तुम वक्त बताओ। पायलट जल्दी आए तो हम तुम्हारी बात पर अमल करने की सोचेंगे ## इंजमाम: : मैं पूरी कोशिश कर रहा हूं, एयरपोर्ट बंद है इसिलिए उन्हे आने में थोड़ा वक्त लग सकता है ## सफिरिनी: वक्त नहीं है। अंग्रेजी समाधान वाली क्रू भेज जल्दी। ## इंजमाम: : तुम औरते और बच्चे भेजोगे? ## सफिरिनी: : सोचेंगे। ##",SAFIRINI हिंदी समाधान वाली क्रू मांग रहा है
1753,"RAHUL : Mom ko bola ki aap garage pe the ? ## FATHER : Mujh se ek baar baat toh kar leta ? ## RAHUL : You're unbelievable .. Kitne ghatiya insaan ho aap . ## FATHER : Rahul .. I'm sorry-- ## RAHUL : Haan zaroor ! ## FATHER : Rahul , Itna aasan nahin hai sab kuch samjhana .. Main Sunita ko .. ## MOTHER : Kidhar te tum ? ## RAHUL : Maa . Please . Chacha is here .. ## ",Dad ne Mom ko bola ke wo garage mein they,entailment,"राहुल : माँ को बोला की आप गैराज पे? ## पिता : मुझसे एक बार बात तो कर लेता है? ## राहुल: आप अविश्वसनीय हैं.. कितने घटिया इंसान हो आप। ## पिता : राहुल .. आई एम सॉरी-- ## राहुल : हां जरूर ! ## पिता : राहुल , इतना आसन नहीं है सब कुछ समझौता .. मैं सुनीता को .. ## मां : किधर ते तुम ? ## राहुल : माँ। कृपया । चाचा यहाँ हैं.. ##",डैड ने मॉम को बोला के वो गैराज में वे
